"","V1"
"1",2.6
"2",4.1
"3",1.7
"4",30.7
"5",40.9
"6",6.7
"7",10.7
"8",24.7
"9",1
"10",68
"11",22.8
"12",0.5
"13",8.7
"14",111.8
"15",2.9
"16",0.1
"17",137
"18",5.1
"19",0.8
"20",8.030263
"21",29.8
"22",76.4
"23",40.9
"24",12.8
"25",18.8
"26",27.8
"27",19.7
"28",26.3
"29",0.8
"30",41.7
"31",8.8
"32",1.8
"33",0.8
"34",24
"35",12.8
"36",51.3
"37",9.8
"38",106
"39",11.9
"40",88
"41",35.2
"42",53.4
"43",112.2
"44",3.9
"45",1
"46",26
"47",153
"48",19.8
"49",3.2
"50",56.1
"51",69.5
"52",1.4
"53",52.4
"54",122.2
"55",55.9
"56",24.1
"57",53.2
"58",6.9
"59",1
"60",51.4
"61",21.5
"62",2
"63",52.5
"64",26
"65",8.3
"66",67
"67",3
"68",8
"69",6.1
"70",39
"71",15.1
"72",1
"73",27.6
"74",118.2
"75",160.2
"76",17.1
"77",3.1
"78",100.2
"79",9.1
"80",93.1
"81",53.1
"82",44.3
"83",132.2
"84",1
"85",1.6
"86",19.1
"87",12.6
"88",4.3
"89",2.5
"90",15.3
"91",2.1
"92",42.1
"93",20.3
"94",16.1
"95",44.6
"96",1.7
"97",3.1
"98",159.7
"99",6.1
"100",2.1
"101",2.1
"102",21.2
"103",28.1
"104",40.1
"105",32.1
"106",1.1
"107",3.3
"108",79.2
"109",160.3
"110",13.1
"111",113.4
"112",58.2
"113",74.3
"114",1
"115",124.3
"116",147.5
"117",1.8
"118",64.4
"119",32.9
"120",6.2
"121",2.9
"122",2.8
"123",9.2
"124",7.2
"125",13.8
"126",6.4
"127",1
"128",28.3
"129",3.3
"130",13.2
"131",16.6
"132",125.2
"133",0.2
"134",48.3
"135",51.3
"136",2.4
"137",28.3
"138",23.3
"139",21.4
"140",1.3
"141",23.3
"142",79.4
"143",12.1
"144",64.3
"145",13.3
"146",1.9
"147",108.4
"148",108.9
"149",5.3
"150",2.3
"151",3.3
"152",19.3
"153",244.6
"154",23.3
"155",13.6
"156",34.4
"157",101.4
"158",1.2
"159",16.3
"160",69.5
"161",5.2
"162",10.9
"163",84
"164",2.4
"165",208.8
"166",1.3
"167",20.3
"168",22.3
"169",52.5
"170",0.4
"171",28.3
"172",165.5
"173",128.5
"174",6.2
"175",13.4
"176",76.5
"177",4.3
"178",0.6
"179",4.3
"180",18.4
"181",193.6
"182",223.6
"183",79.6
"184",95.8
"185",80.6
"186",40.4
"187",55.5
"188",32.4
"189",11.5
"190",18.7
"191",40.6
"192",12.4
"193",36.4
"194",0.9
"195",0.4
"196",49.4
"197",4.5
"198",86.8
"199",5.7
"200",1.3
"201",8.4
"202",144.3
"203",16.4
"204",89.3
"205",25.5
"206",2.1
"207",16.7
"208",128.5
"209",6
"210",52
"211",2.5
"212",12.5
"213",65.6
"214",13.5
"215",61.7
"216",15.9
"217",16.5
"218",13.5
"219",21.5
"220",22.5
"221",9.5
"222",14.5
"223",52.7
"224",25.5
"225",170.7
"226",49.5
"227",7.6
"228",2.6
"229",8.5
"230",0.5
"231",28.9
"232",1.2
"233",1.8
"234",0.5
"235",7.6
"236",13.8
"237",16.6
"238",6.5
"239",2.7
"240",38.6
"241",122.7
"242",15.2
"243",40
"244",54.1
"245",10.6
"246",136.7
"247",52.8
"248",1.5
"249",8.9
"250",4.7
"251",0.6
"252",18.6
"253",44.6
"254",3.9
"255",5.6
"256",149.1
"257",69.7
"258",7.3
"259",9.7
"260",25.6
"261",7.8
"262",43
"263",24.7
"264",8.7
"265",5.2
"266",4.7
"267",33.8
"268",3.7
"269",65.1
"270",5.7
"271",104.8
"272",6.7
"273",0.1
"274",19.4
"275",0.7
"276",113.9
"277",94.9
"278",35.7
"279",0.7
"280",28.8
"281",51.8
"282",23.8
"283",11.7
"284",28.8
"285",2.7
"286",0.8
"287",3.8
"288",0.8
"289",65.8
"290",10.1
"291",7.8
"292",4.8
"293",0.4
"294",0.3407895
"295",10.8
"296",123.9
"297",10.8
"298",16.8
"299",4.8
"300",12.8
"301",3.5
"302",1.9
"303",57.9
"304",23
"305",30.8
"306",6
"307",8.8
"308",5.5
"309",0.8
"310",52.9
"311",0.2
"312",56.8
"313",1.8
"314",4.8
"315",10.8
"316",37.8
"317",83.2
"318",185
"319",40.8
