posttau,postmean0,iteratenr
10.0,0.1886073791029722,1
10.0,0.21511819791751327,2
10.0,0.2137507899540696,3
10.0,0.25146590623071563,4
10.0,0.2546088325871029,5
10.0,0.2483229798743285,6
10.0,0.265609074834458,7
10.0,0.27189492754723227,8
10.0,0.2640376116562643,9
10.0,0.2546088325871029,10
10.0,0.2734663907254259,11
10.0,0.2734663907254259,12
10.0,0.25932322212168357,13
10.0,0.2671805380126515,14
10.0,0.2624661484780708,15
10.0,0.2687520011908451,16
10.0,0.2671805380126515,17
10.0,0.25932322212168357,18
10.0,0.2561802957652964,19
10.0,0.2671805380126515,20
10.0,0.3211120039390793,21
10.0,0.25775175894349006,22
10.0,0.25932322212168357,23
10.0,0.27189492754723227,24
10.0,0.27189492754723227,25
10.0,0.27503785390361946,26
10.0,0.2687520011908451,27
10.0,0.2608946852998772,28
10.0,0.27189492754723227,29
10.0,0.2687520011908451,30
10.0,0.276609317081813,31
10.0,0.276609317081813,32
10.0,0.2889977245752313,33
10.0,0.2808796886132554,34
10.0,0.2799070250464811,35
10.0,0.2869678925585534,36
10.0,0.2813092331036797,37
10.0,0.2789766752599555,38
10.0,0.26892070293289333,39
10.0,0.2762847269735904,40
10.0,0.26187375555458836,41
10.0,0.2540164396636204,42
10.0,0.2547352205489023,43
10.0,0.2554540014341842,44
10.0,0.2594072963032343,45
10.0,0.25725095364738876,46
10.0,0.25365704922097954,47
10.0,0.25293826833569766,48
10.0,0.2547352205489023,49
10.0,0.2532976587783386,50
