posttau,postmean0,iteratenr
10.0,0.035134034675668536,1
10.0,0.06055433075784137,2
10.0,0.07993971272648875,3
10.0,0.1655686269461214,4
10.0,0.17925409358757555,5
10.0,0.1598470302948457,6
10.0,0.14348586503146893,7
10.0,0.1584128338246854,8
10.0,0.12095295156601199,9
10.0,0.17837118374715885,10
10.0,0.16532677758570186,11
10.0,0.14872529873652812,12
10.0,0.18234006104758563,13
10.0,0.16258832302872017,14
10.0,0.12877697696116652,15
10.0,0.11164240153879225,16
10.0,0.10780445503089994,17
10.0,0.09543502177894564,18
10.0,0.10161973840492278,19
10.0,0.10088832627784523,20
10.0,0.10895913606390638,21
10.0,0.1090796124910689,22
10.0,0.12954271724687566,23
10.0,0.15609955078300844,24
10.0,0.13138590756374324,25
10.0,0.14918814881270515,26
10.0,0.1484237428689826,27
10.0,0.12384534283946669,28
10.0,0.11339082363909679,29
10.0,0.1092476492592697,30
10.0,0.14700233053044554,31
10.0,0.10877949658719314,32
10.0,0.13042135976417088,33
10.0,0.1292006344588055,34
10.0,0.12371266294625335,35
10.0,0.19953487603001355,36
10.0,0.13838997832419467,37
10.0,0.13972806612882158,38
10.0,0.15460784177140968,39
10.0,0.15292760398745203,40
10.0,0.12949691046306472,41
10.0,0.17641429387716331,42
10.0,0.11624374409128982,43
10.0,0.14548483337420046,44
10.0,0.14646592630739913,45
10.0,0.11920813633561014,46
10.0,0.11710419136153906,47
10.0,0.1502487744854904,48
10.0,0.10381359199685924,49
10.0,0.13520231857020734,50
