posttau,postmean0,iteratenr
10.0,0.11575319505325657,1
10.0,0.23353089855144535,2
10.0,0.7018873939227205,3
10.0,0.8701105604855253,4
10.0,0.8264094232202988,5
10.0,0.8183051872284355,6
10.0,0.8072975399875789,7
10.0,0.805843145320194,8
10.0,0.817888890364791,9
10.0,0.8114310388107363,10
10.0,0.7577868713169047,11
10.0,0.7496714727864832,12
10.0,0.7697511536602086,13
10.0,0.779307086083393,14
10.0,0.7931691259388732,15
10.0,0.7962766760135221,16
10.0,0.7653583296799227,17
10.0,0.7647715747227117,18
10.0,0.7664655552813482,19
10.0,0.7929764059360929,20
10.0,0.8169846564394792,21
10.0,0.8042836641337474,22
10.0,0.7965200226338519,23
10.0,0.7936462882927595,24
10.0,0.7845320205366353,25
10.0,0.8073222015362556,26
10.0,0.8069165115488401,27
10.0,0.7902245066136208,28
10.0,0.8116977375022669,29
10.0,0.821611318868564,30
10.0,0.7860989042112121,31
10.0,0.7744963255905007,32
10.0,0.7552404437423537,33
10.0,0.774723739256453,34
10.0,0.7857917579203239,35
10.0,0.7762076614672461,36
10.0,0.7979717282290099,37
10.0,0.8029242016128991,38
10.0,0.7730462899581771,39
10.0,0.7683324928604752,40
10.0,0.7722623179021145,41
10.0,0.7752621015234303,42
10.0,0.7550050081538466,43
10.0,0.7908164658620769,44
10.0,0.8343636440723031,45
10.0,0.8080409391896347,46
10.0,0.8180254412404011,47
10.0,0.8191760013797192,48
10.0,0.8044065922782884,49
10.0,0.8143250259260735,50
10.0,0.7920237309771452,51
10.0,0.8086257985886408,52
10.0,0.806910478992477,53
10.0,0.8310375885021101,54
10.0,0.8209004907877738,55
10.0,0.8021567133331133,56
10.0,0.7632012557091991,57
10.0,0.7561305950303207,58
10.0,0.7791734019230329,59
10.0,0.779796166528365,60
10.0,0.8068615958327605,61
10.0,0.7586638814010102,62
10.0,0.7858672368776503,63
10.0,0.7894367456647433,64
10.0,0.7750041196474297,65
10.0,0.7840269121223641,66
10.0,0.8066437414015873,67
10.0,0.7821241282433568,68
10.0,0.7963302685593328,69
10.0,0.7714216781927028,70
10.0,0.7589993498166493,71
10.0,0.7535084895381269,72
10.0,0.7869220019502321,73
10.0,0.8146305917027273,74
10.0,0.7626761920465958,75
10.0,0.7770600410409776,76
10.0,0.7842425642914124,77
10.0,0.8022328051704436,78
10.0,0.8195652227363944,79
10.0,0.8089576757468528,80
10.0,0.8099378702593772,81
10.0,0.8388062543706442,82
10.0,0.8049254596774912,83
10.0,0.8069859643880151,84
10.0,0.8158838167584331,85
10.0,0.8277930902870353,86
10.0,0.8478254821660359,87
10.0,0.811504574618786,88
10.0,0.8543907365457893,89
10.0,0.8497769703933802,90
10.0,0.8247460859940517,91
10.0,0.7974319545902988,92
10.0,0.8124753255970782,93
10.0,0.8363148590686489,94
10.0,0.8273965035272618,95
10.0,0.8394300397113621,96
10.0,0.8302736141162594,97
10.0,0.83484068879408,98
10.0,0.8168905117316584,99
10.0,0.8292990733632262,100
10.0,0.8314900667518579,101
10.0,0.8263217635827255,102
10.0,0.8342861602322883,103
10.0,0.7892912337800784,104
10.0,0.8019032884805135,105
10.0,0.8295887299481775,106
10.0,0.8300670918039545,107
10.0,0.8546169778236259,108
10.0,0.8012526436130689,109
10.0,0.777380118358333,110
10.0,0.8142128629157837,111
10.0,0.8022088147972792,112
10.0,0.7966579218504771,113
10.0,0.8192182865563044,114
10.0,0.826525875636767,115
10.0,0.8151447588017416,116
10.0,0.8307385093829522,117
10.0,0.8270231140052329,118
10.0,0.8269793133947406,119
10.0,0.797114030059388,120
10.0,0.8127487579333915,121
10.0,0.8034397479677516,122
10.0,0.7930194002711825,123
10.0,0.8315201355094852,124
10.0,0.7753182067255033,125
10.0,0.7867295466126707,126
10.0,0.7979517788143291,127
10.0,0.8056044237330857,128
10.0,0.8222194082649826,129
10.0,0.797767319806969,130
10.0,0.8290809466590278,131
10.0,0.8153263096786456,132
10.0,0.8319640325616147,133
10.0,0.8316455439843956,134
10.0,0.7755973804657835,135
10.0,0.7877387578211157,136
10.0,0.7729187789258081,137
10.0,0.7892173959348496,138
10.0,0.807676572181125,139
10.0,0.805800848459836,140
10.0,0.829336171295821,141
10.0,0.8335653672109495,142
10.0,0.8079596008391952,143
10.0,0.8144298043549068,144
10.0,0.7991021357846814,145
10.0,0.8113117427038038,146
10.0,0.834461672362767,147
10.0,0.7761108563061725,148
10.0,0.7734700285053756,149
10.0,0.8175252700725498,150
10.0,0.8465863328257329,151
10.0,0.8109197111028521,152
10.0,0.8271886238515659,153
10.0,0.8250244912400198,154
10.0,0.8298972193166577,155
10.0,0.8256104578709269,156
10.0,0.7981820555256499,157
10.0,0.7591708073732087,158
10.0,0.7721024223836954,159
10.0,0.8123134943643073,160
10.0,0.8201603545492356,161
10.0,0.8122468980342948,162
10.0,0.7953226942487617,163
10.0,0.7956027286540697,164
10.0,0.7676184191766016,165
10.0,0.7904995985887959,166
10.0,0.7845374188915719,167
10.0,0.7979088843189821,168
10.0,0.8090189827134715,169
