posttau,postmean0,iteratenr
10.0,1.152917638844139,1
10.0,3.5865292848925683,2
10.0,3.8616818979486887,3
10.0,4.876734743079269,4
10.0,3.1281409554830244,5
10.0,4.32660150748953,6
10.0,5.3667984381205995,7
10.0,5.094206825845097,8
10.0,3.561405066916637,9
10.0,2.982535822662899,10
10.0,1.8066486263276056,11
10.0,2.6945647049797983,12
10.0,2.792689487036626,13
10.0,4.494149646795028,14
10.0,3.7725639834570543,15
10.0,4.080610852581492,16
10.0,3.7576493280870014,17
10.0,2.540070010795369,18
10.0,2.207450491070668,19
10.0,3.0289369859122313,20
10.0,2.7525970465770775,21
10.0,2.9863340566750045,22
10.0,2.777358213544376,23
10.0,3.5646027371769797,24
10.0,4.449691157855856,25
10.0,2.7955543977712556,26
10.0,2.8690908469229095,27
10.0,2.9365816558113567,28
10.0,4.897435587198178,29
10.0,3.2926478059593576,30
10.0,1.7716041991084839,31
10.0,1.663291613866226,32
10.0,2.8176910305743816,33
10.0,3.498435164141721,34
10.0,1.6190103536140708,35
10.0,2.8018949857459603,36
10.0,4.387508131614296,37
10.0,2.186460176187429,38
10.0,2.8087262980083625,39
10.0,3.236263177538483,40
10.0,3.8277632567110627,41
10.0,1.603481678485611,42
10.0,4.065955750023392,43
10.0,4.093628716433447,44
10.0,2.692752146859942,45
10.0,2.2907000092487064,46
10.0,2.2420170399830828,47
10.0,3.7154136293927276,48
10.0,2.4578718464887195,49
10.0,3.204523877161945,50
10.0,3.9119374199507218,51
10.0,1.862209980798463,52
10.0,2.5427464713232255,53
10.0,3.1217400247850184,54
10.0,3.682411145794327,55
10.0,3.5487045562545863,56
10.0,3.585501349525897,57
10.0,3.1454346046167574,58
10.0,3.884076953444171,59
10.0,2.7086140613792593,60
10.0,3.3929988998266847,61
10.0,2.4630750345705152,62
10.0,3.728332162810377,63
10.0,3.9206725706492778,64
10.0,3.9667064146604383,65
10.0,3.4008891178495566,66
10.0,3.6411737122139884,67
10.0,2.0203890618942726,68
10.0,2.7423210579855315,69
10.0,3.17225824881392,70
10.0,2.3025494507799635,71
10.0,2.1570079124068346,72
10.0,1.9992932618752322,73
10.0,1.7644594063885701,74
10.0,2.4941145877222604,75
10.0,4.243943825231924,76
10.0,3.4188178030158696,77
10.0,3.2951164139725733,78
10.0,2.7548704984591543,79
10.0,2.303716115037257,80
10.0,3.1724058428169957,81
10.0,3.134331785659655,82
10.0,4.00786439420254,83
10.0,3.658683490456036,84
10.0,3.143650756016478,85
10.0,4.820114565739863,86
10.0,3.530232897612345,87
10.0,1.6312759513711743,88
10.0,3.2487104278198484,89
10.0,3.8099358043349794,90
10.0,3.1146186138172727,91
10.0,2.532275585960951,92
10.0,2.164642839068188,93
10.0,4.553543228402708,94
10.0,3.1678106150083463,95
10.0,3.7910705591553455,96
10.0,2.0020650494981025,97
10.0,2.0419632756408963,98
10.0,3.1849041519773063,99
10.0,3.209435347491514,100
10.0,3.7574649316012394,101
10.0,5.201138875622509,102
