posttau,postmean0,iteratenr
10.0,1.152917638844139,1
10.0,3.9050635810273295,2
10.0,3.96701262556541,3
10.0,3.17641169415744,4
10.0,2.4860414564527016,5
10.0,2.2123107853158728,6
10.0,3.6335882741031305,7
10.0,3.7941129408988825,8
10.0,3.1533125620728493,9
10.0,3.4877017317139156,10
10.0,5.185881985237333,11
10.0,3.3168913498467845,12
10.0,3.5220067038429175,13
10.0,1.949545179790506,14
10.0,1.9663752906487422,15
10.0,1.8975591431826027,16
10.0,3.8350774910658343,17
10.0,2.4977371215156325,18
10.0,2.1434959009377055,19
10.0,2.1301892871315173,20
10.0,2.771197327933954,21
10.0,3.8080604124816957,22
10.0,2.6741695216960144,23
10.0,3.7401185006674225,24
10.0,2.8873650496817764,25
10.0,2.3254546837910244,26
10.0,3.1335594883682276,27
10.0,4.656442154047437,28
10.0,2.9788588579499087,29
10.0,3.379818107113244,30
10.0,5.873006562744602,31
10.0,4.875851001519137,32
10.0,4.2562650601447505,33
10.0,4.527721743831675,34
10.0,3.2928977210169155,35
10.0,3.178078353075653,36
10.0,3.1173174006401108,37
10.0,2.599096037779503,38
10.0,4.7461082267747425,39
10.0,4.592595697304393,40
10.0,1.9050376633485782,41
10.0,1.9332828598469418,42
10.0,2.6936791473464705,43
10.0,2.9144519599008056,44
10.0,2.5220823095357447,45
10.0,4.016283825836533,46
10.0,2.8105059989747074,47
10.0,2.3265717123618197,48
10.0,4.057387373680505,49
10.0,2.5100743087508284,50
10.0,3.7175494595379766,51
10.0,2.2392029269329585,52
10.0,3.4067112488639513,53
10.0,3.049328039790132,54
10.0,4.582310704756796,55
10.0,4.169417986302253,56
10.0,3.3790664591188473,57
10.0,2.860892875958869,58
10.0,3.80720943666941,59
10.0,2.985304833324272,60
10.0,1.966614221191785,61
10.0,1.7419715188824005,62
10.0,2.901484193468298,63
10.0,4.22982187652954,64
10.0,3.527137480493709,65
10.0,4.58433580952513,66
10.0,3.5879213353468105,67
10.0,4.7013495329949775,68
10.0,3.316213070451525,69
10.0,4.1759357690759735,70
10.0,4.468711496784749,71
10.0,3.474105308532837,72
10.0,2.6853634256879455,73
10.0,4.1219113591704195,74
10.0,2.1159686468764636,75
10.0,4.14614047736931,76
10.0,3.656594053669194,77
10.0,4.546251223739002,78
10.0,2.121113992532522,79
10.0,3.9231642202634975,80
10.0,1.8939786901322149,81
10.0,1.7685628152837845,82
10.0,2.7196462102322063,83
10.0,3.8101696695311156,84
10.0,3.447995476974722,85
10.0,2.608077690073073,86
10.0,1.6335855542727007,87
10.0,4.2053541165793185,88
10.0,4.272881985310286,89
10.0,2.879151563825732,90
10.0,2.1050814567798217,91
10.0,3.4189969724149254,92
10.0,3.0732753574941882,93
10.0,2.51465047708049,94
10.0,3.676512343206194,95
10.0,1.8582378165564337,96
10.0,3.0223180348655556,97
10.0,3.0040287115808093,98
10.0,3.4186193954644897,99
10.0,1.7083112971659282,100
10.0,1.7419715188824005,101
10.0,2.835861951372039,102
10.0,2.4404723597779703,103
10.0,2.4260264069703714,104
10.0,3.6646252704940325,105
10.0,2.4391905083575227,106
10.0,1.7251414080241643,107
10.0,1.9585985988342196,108
10.0,3.419425759166714,109
10.0,4.189917999847162,110
10.0,4.93842866063881,111
10.0,4.199953166239387,112
10.0,2.957416810689822,113
10.0,2.6117855957402387,114
10.0,4.449638912065657,115
10.0,3.506871787139091,116
10.0,1.7588016297406364,117
10.0,4.542468667788772,118
10.0,3.415929435615434,119
10.0,1.7756317405988726,120
10.0,1.7588016297406364,121
10.0,3.5853577497677502,122
10.0,2.3360945878036152,123
10.0,3.7450360717335482,124
10.0,1.6914811863076924,125
10.0,4.910414638989576,126
10.0,4.570055210183774,127
10.0,4.536394988467302,128
10.0,3.565836963152052,129
10.0,4.803332556143009,130
